TEXT,Sentiment
"Mi ek muslim Aahe taari 
Dewa Charni prathrna karto 
Ya Jagat jevde look dukkhi Aahe ty sarwanna sukkhi thev 
Dewa kalji re majhya dewa kalji re",2
 M            ,2
    like   ,2
  caller tune       fvrt song ,3
 airforce          energy   ,2
Hi I am Muslim but I know marathi language very well bcoz of being a proud Maharashtrian the songs lyrics made jus awesome,3
Mi aaj ithe saudi madhe job kartoy kadhi hi mala majya gavachi athvan aali ki me ha gaane nhmi aykto ,3
Who is watching due to corona,2
I am SindhiGujarati guy but i love this Marathi song ,3
I Dont Understand Marathi Song But i Feel This Song Best Song Very Emotional Song,3
"httpsyoutubeanlswkWhkM
              ARF production            
                            ",2
Marathi in my favorite song From Karnataka ,3
   Arijit Singh        ,2
 time        ,2
Houde jara ushir sodtos kaa dhir those lines inspire me alot,3
Konaak aathvan yetaa haa aaplya gaav chi lockdown mdhe  ,3
I rarely hear Marathi songs but this touched my heart,3
       positivity                 ,3
Love from Karnataka Though i dont understand the lyrics this song touches the bottom of the heart Love it,3
"I am from bihar But that song is i like it 
Lay chaan aahe Mala hay lay aavdtoy  song Tumch hardek abenandan Dada",2
Corona virus             ,2
I really thanks to Ajay  Atul  Making this song  I daily listen this  song with out fail,3
Maharashtrian log is song ko dislike kar sakte it means in logoko sense naam ki cheez hi nai hai one of my favorite song,1
Khup aprithim gaane Im Srinivas from telgana,3
Who is here after M views,2
M views             ,2
       AC                   ,2
Lockdown madhye kon kon he gan ektay ,2
 may        ,2
Who is watching this video in corona time Like if u still studying,2
What a beautifull compositionomglol from kerala,2
              super hit   flop     ,1
Made me forget everything nd reminisce me d quality time I spends in village Love u konkan,3
How can someone give such a brilliant performance in all aspects  Singing lyrics music all are at next level Ajay has that emotions in his voice,3
Really goosebumps I m literally crying I dont know why,3
Maz aavdt song aahe,3
Namaskar mi Atharva gurav maz tabla channel ahe ani mala like comment subscribe Kara ani tumala konate song vazaun ghayacha asel tar mala comment madhe sanga,2
Iam from karnataka  I love ajay atul music ,3
"Lockdown me Kon Kon Sun Ra Hai

Like Kare",2
Woww finally we did it  million ,2
"So nicely sang Deep voice of Ajay with clear pronunciation   
    even chorus is also heart touching",3
What a voice man outstanding,3
Im proud Marathi song as well as movie,3
My fvrt song Which show the efforts of one of person for his expectations Nice song,3
Congratulations  million view  complete ,3
still dont know why k people dislike this beautiful composition We have to appericiate efforts of these songs in era of nonsense remake,2
"My   
        
     
      ",2
If someone loosing hope then listen this song you definitely get power to fight back and stand again,3
"Corona related song
My eyes get wet hearing this song",2
Congratulations on  million views ,3
From when my friend has send me this song I became a fan of it ,3
I am Muslim but I like you this song,3
My fevret songs powerful songs ,3
Corona pasun ya jagala vachav deva,3
                          lockdown               ,2
"Touched my heart so much that I dont know when tears came out of my eyes

Nice",2
Kiti tari time ha gana aykla pan man kayi Bharat nahi I love this song,3
Lyrics ,2
This song deserves Grammy ,3
"New best motivational song in marathi

Ashech banwawe ajun",3
when I fell sad  I come here,3
